Type,Days for shipping (real),Days for shipment (scheduled),Order Region,Delivery Status,Late_delivery_risk,Category Name,Customer City,Order Item Total
PAYMENT,3,2,Western Europe,Late delivery,1,Cleats,Caguas,201.5700073
PAYMENT,2,2,Western Europe,Shipping on time,0,Women's Apparel,Caguas,200.0
PAYMENT,3,2,Western Europe,Late delivery,1,Shop By Sport,Caguas,156.7599945
PAYMENT,2,2,Western Europe,Shipping on time,0,Shop By Sport,Caguas,127.9700012
PAYMENT,5,2,Western Europe,Late delivery,1,Cleats,Caguas,290.9500122
PAYMENT,6,2,Western Europe,Late delivery,1,Cleats,Caguas,248.9600067
PAYMENT,6,2,Western Europe,Late delivery,1,Cleats,Caguas,248.9600067
PAYMENT,5,2,Western Europe,Late delivery,1,Cleats,Caguas,245.9600067
PAYMENT,6,2,Western Europe,Late delivery,1,Women's Apparel,Caguas,227.5
PAYMENT,5,2,Western Europe,Late delivery,1,Shop By Sport,Caguas,179.9600067
PAYMENT,6,2,Western Europe,Late delivery,1,Women's Apparel,Caguas,225.0
PAYMENT,6,2,Western Europe,Late delivery,1,Women's Apparel,Caguas,212.5
PAYMENT,5,2,Western Europe,Late delivery,1,Women's Apparel,Caguas,212.5
PAYMENT,2,2,Western Europe,Shipping on time,0,Girls' Apparel,Caguas,290.5
PAYMENT,6,2,Western Europe,Late delivery,1,Women's Apparel,Caguas,205.0
DEBIT,4,2,Western Europe,Late delivery,1,Strength Training,Caguas,351.9899902
DEBIT,4,2,Western Europe,Late delivery,1,Cleats,Caguas,299.9899902
DEBIT,5,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,129.9900055
DEBIT,3,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,129.9900055
DEBIT,6,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,129.9900055
DEBIT,3,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,129.9900055
DEBIT,2,2,Western Europe,Shipping on time,0,Crafts,Caguas,456.8699951
DEBIT,5,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,128.6900024
DEBIT,3,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,128.6900024
DEBIT,4,2,Western Europe,Late delivery,1,Men's Footwear,San Juan,128.6900024
DEBIT,6,2,Western Europe,Late delivery,1,Cleats,Caguas,58.79000092
DEBIT,2,2,Western Europe,Shipping on time,0,Men's Footwear,Caguas,126.0899963
DEBIT,6,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,126.0899963
DEBIT,5,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,124.7900009
DEBIT,4,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,124.7900009
DEBIT,4,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,124.7900009
DEBIT,6,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,124.7900009
DEBIT,6,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,124.7900009
DEBIT,5,2,Western Europe,Late delivery,1,Cleats,Caguas,56.99000168
DEBIT,6,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,122.8399963
DEBIT,6,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,122.8399963
DEBIT,2,2,Western Europe,Shipping on time,0,Men's Footwear,Caguas,120.8899994
DEBIT,6,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,120.8899994
DEBIT,2,2,Western Europe,Shipping on time,0,Cleats,Caguas,53.99000168
DEBIT,4,2,Western Europe,Late delivery,1,Cleats,Caguas,53.99000168
DEBIT,3,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,114.3899994
DEBIT,6,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,113.0899963
DEBIT,3,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,113.0899963
DEBIT,5,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,113.0899963
DEBIT,5,2,Western Europe,Late delivery,1,Children's Clothing,Caguas,303.5400085
DEBIT,4,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,110.4899979
DEBIT,3,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,110.4899979
DEBIT,5,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,110.4899979
DEBIT,4,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,110.4899979
DEBIT,4,2,Western Europe,Late delivery,1,Cleats,Caguas,50.38999939
DEBIT,6,2,Western Europe,Late delivery,1,Crafts,Caguas,387.6400146
DEBIT,2,2,Western Europe,Shipping on time,0,Men's Footwear,Caguas,109.1900024
DEBIT,4,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,109.1900024
TRANSFER,5,4,Western Europe,Shipping canceled,0,Cardio Equipment,Los Angeles,319.9700012
TRANSFER,2,4,Western Europe,Shipping canceled,0,Cleats,Phoenix,230.3600006
TRANSFER,5,4,Western Europe,Shipping canceled,0,Women's Apparel,Greensboro,198.0
TRANSFER,6,4,Western Europe,Shipping canceled,0,Shop By Sport,San Jose,151.9600067
TRANSFER,3,4,Western Europe,Shipping canceled,0,Women's Apparel,New York,189.0
TRANSFER,5,4,Western Europe,Shipping canceled,0,Women's Apparel,Lakewood,186.0
TRANSFER,5,4,Western Europe,Shipping canceled,0,Women's Apparel,New York,164.0
TRANSFER,5,4,Western Europe,Shipping canceled,0,Women's Apparel,New York,160.0
TRANSFER,2,4,Western Europe,Advance shipping,0,Baseball & Softball,San Jose,199.1699982
TRANSFER,5,4,Western Europe,Late delivery,1,Cardio Equipment,Rome,399.9599915
TRANSFER,2,4,Western Europe,Advance shipping,0,Cardio Equipment,Los Angeles,379.9599915
TRANSFER,3,4,Western Europe,Advance shipping,0,Electronics,San Jose,116.4400024
TRANSFER,3,4,Western Europe,Advance shipping,0,Cardio Equipment,Lancaster,351.9599915
TRANSFER,2,4,Western Europe,Advance shipping,0,Cardio Equipment,York,347.9700012
TRANSFER,5,4,Western Europe,Late delivery,1,Cardio Equipment,Phoenix,339.9700012
TRANSFER,5,4,Western Europe,Late delivery,1,Cardio Equipment,Lompoc,335.9700012
TRANSFER,5,4,Western Europe,Late delivery,1,Cardio Equipment,York,319.9700012
TRANSFER,6,4,Western Europe,Late delivery,1,Cleats,Raleigh,239.9600067
TRANSFER,2,4,Western Europe,Advance shipping,0,Cleats,Virginia Beach,235.1600037
TRANSFER,6,4,Western Europe,Late delivery,1,Cleats,Hollywood,230.3600006
TRANSFER,5,4,Western Europe,Late delivery,1,Cleats,Bolingbrook,230.3600006
TRANSFER,5,4,Western Europe,Late delivery,1,Cleats,West Lafayette,230.3600006
TRANSFER,5,4,Western Europe,Late delivery,1,Cleats,Astoria,230.3600006
TRANSFER,4,4,Western Europe,Shipping on time,0,Cleats,San Jose,226.7599945
TRANSFER,6,4,Western Europe,Late delivery,1,Cleats,Weslaco,223.1600037
TRANSFER,5,4,Western Europe,Late delivery,1,Cleats,Lakewood,218.3600006
TRANSFER,5,4,Western Europe,Late delivery,1,Cleats,Lakewood,215.9600067
TRANSFER,6,4,Western Europe,Late delivery,1,Cleats,Dallas,211.1600037
TRANSFER,2,4,Western Europe,Advance shipping,0,Cleats,San Jose,201.5700073
TRANSFER,4,4,Western Europe,Shipping on time,0,Cleats,San Diego,196.7700043
TRANSFER,4,4,Western Europe,Shipping on time,0,Cleats,La Mirada,196.7700043
DEBIT,6,4,Western Europe,Late delivery,1,Cardio Equipment,Gardena,454.9500122
DEBIT,5,4,Western Europe,Late delivery,1,Cardio Equipment,Riverside,439.9599915
DEBIT,5,4,Western Europe,Late delivery,1,Cardio Equipment,Asheboro,434.9599915
DEBIT,4,4,Western Europe,Shipping on time,0,Cardio Equipment,La Crosse,434.9599915
DEBIT,5,4,Western Europe,Late delivery,1,Cardio Equipment,Encinitas,424.9599915
DEBIT,3,4,Western Europe,Advance shipping,0,Cardio Equipment,Canyon Country,419.9599915
DEBIT,5,4,Western Europe,Late delivery,1,Cardio Equipment,Pomona,419.9599915
DEBIT,4,4,Western Europe,Shipping on time,0,Cardio Equipment,Ithaca,419.9599915
DEBIT,2,4,Western Europe,Advance shipping,0,Electronics,Staten Island,134.3600006
DEBIT,5,4,Western Europe,Late delivery,1,Cardio Equipment,Los Angeles,414.9599915
DEBIT,3,4,Western Europe,Advance shipping,0,Cardio Equipment,Lompoc,409.9599915
DEBIT,6,4,Western Europe,Late delivery,1,Cardio Equipment,Escondido,409.9599915
DEBIT,2,4,Western Europe,Advance shipping,0,Cardio Equipment,Martinez,409.9599915
DEBIT,4,4,Western Europe,Shipping on time,0,Cardio Equipment,Troy,409.9599915
DEBIT,4,4,Western Europe,Shipping on time,0,Cardio Equipment,North Las Vegas,399.9599915
DEBIT,5,4,Western Europe,Late delivery,1,Cardio Equipment,Arlington,399.9599915
DEBIT,5,4,Western Europe,Late delivery,1,Cardio Equipment,Simi Valley,374.9599915
DEBIT,4,4,Western Europe,Shipping on time,0,Cardio Equipment,New Bedford,374.9599915
DEBIT,4,4,Western Europe,Shipping on time,0,Cleats,Davis,299.9500122
DEBIT,4,4,Western Europe,Shipping on time,0,Cleats,Chandler,296.9500122
DEBIT,3,4,Western Europe,Advance shipping,0,Cleats,Chandler,296.9500122
DEBIT,4,4,Western Europe,Shipping on time,0,Cleats,Fullerton,296.9500122
DEBIT,6,4,Western Europe,Late delivery,1,Cleats,Chicago,296.9500122
DEBIT,4,4,Western Europe,Shipping on time,0,Cleats,Elgin,296.9500122
DEBIT,5,4,Western Europe,Late delivery,1,Cleats,Carlisle,296.9500122
DEBIT,5,4,Western Europe,Late delivery,1,Cleats,Honolulu,293.9500122
DEBIT,4,4,Western Europe,Shipping on time,0,Cleats,Los Angeles,290.9500122
DEBIT,3,4,Western Europe,Advance shipping,0,Cleats,Santa Ana,290.9500122
DEBIT,3,4,Western Europe,Advance shipping,0,Cleats,Pittsburg,290.9500122
DEBIT,5,4,Western Europe,Late delivery,1,Cleats,Los Angeles,287.9500122
DEBIT,4,4,Western Europe,Shipping on time,0,Cleats,Aurora,287.9500122
DEBIT,6,4,Western Europe,Late delivery,1,Cleats,Clementon,284.9500122
DEBIT,2,4,Western Europe,Advance shipping,0,Cleats,Orlando,283.4500122
DEBIT,3,4,Western Europe,Advance shipping,0,Cleats,Troy,283.4500122
DEBIT,5,4,Western Europe,Late delivery,1,Cleats,Hanover,283.4500122
DEBIT,5,4,Western Europe,Late delivery,1,Cleats,Virginia Beach,283.4500122
DEBIT,3,4,Western Europe,Advance shipping,0,Cleats,Glendale,272.9500122
DEBIT,5,4,Western Europe,Late delivery,1,Cleats,La Mirada,272.9500122
DEBIT,3,4,Western Europe,Advance shipping,0,Cleats,Chicago,272.9500122
DEBIT,4,4,Western Europe,Shipping on time,0,Cleats,Simi Valley,263.9599915
DEBIT,6,4,Western Europe,Late delivery,1,Cleats,Bend,263.9599915
DEBIT,2,4,Western Europe,Advance shipping,0,Cleats,Philadelphia,263.9599915
DEBIT,5,4,Western Europe,Late delivery,1,Cleats,Pomona,260.9599915
DEBIT,2,4,Western Europe,Advance shipping,0,Cleats,Chicago,260.9599915
DEBIT,5,4,Western Europe,Late delivery,1,Cleats,Baltimore,260.9599915
DEBIT,5,4,Western Europe,Late delivery,1,Cleats,Amarillo,254.9600067
DEBIT,5,4,Western Europe,Late delivery,1,Cleats,Honolulu,248.9600067
DEBIT,2,4,Western Europe,Advance shipping,0,Cleats,Chicago,248.9600067
PAYMENT,3,4,Western Europe,Advance shipping,0,Computers,Caguas,1230.0
PAYMENT,4,4,Western Europe,Shipping on time,0,Fishing,Caguas,391.980011
PAYMENT,4,4,Western Europe,Shipping on time,0,Camping & Hiking,Caguas,248.9799957
PAYMENT,6,4,Western Europe,Late delivery,1,Cameras ,Caguas,447.519989
PAYMENT,4,4,Western Europe,Shipping on time,0,Cameras ,Caguas,438.480011
PAYMENT,2,4,Western Europe,Advance shipping,0,Cameras ,Caguas,420.3999939
PAYMENT,4,4,Western Europe,Shipping on time,0,Cameras ,Caguas,397.7999878
PAYMENT,2,4,Western Europe,Advance shipping,0,Cameras ,Caguas,393.269989
PAYMENT,2,4,Western Europe,Advance shipping,0,Cameras ,Caguas,384.230011
PAYMENT,4,4,Western Europe,Shipping on time,0,Cameras ,Caguas,379.7099915
PAYMENT,3,4,Western Europe,Advance shipping,0,Cameras ,Caguas,379.7099915
PAYMENT,6,4,Western Europe,Late delivery,1,Cameras ,Caguas,379.7099915
PAYMENT,5,4,Western Europe,Late delivery,1,Computers,Caguas,1245.0
PAYMENT,5,4,Western Europe,Late delivery,1,Cardio Equipment,Caguas,99.98999786
PAYMENT,5,4,Western Europe,Late delivery,1,Cardio Equipment,Caguas,98.98999786
PAYMENT,3,4,Western Europe,Advance shipping,0,Cardio Equipment,Caguas,95.98999786
PAYMENT,2,4,Western Europe,Advance shipping,0,Cardio Equipment,Caguas,86.98999786
PAYMENT,3,4,Western Europe,Advance shipping,0,Cardio Equipment,Caguas,83.98999786
PAYMENT,5,4,Western Europe,Late delivery,1,Cardio Equipment,Caguas,81.98999786
PAYMENT,6,4,Western Europe,Late delivery,1,Children's Clothing,Caguas,357.1000061
PAYMENT,5,4,Western Europe,Late delivery,1,Crafts,Caguas,461.480011
PAYMENT,6,4,Western Europe,Late delivery,1,Men's Footwear,Caguas,129.9900055
PAYMENT,5,4,Western Europe,Late delivery,1,Men's Footwear,Caguas,129.9900055
PAYMENT,2,4,Western Europe,Advance shipping,0,Cleats,Caguas,59.38999939
PAYMENT,4,4,Western Europe,Shipping on time,0,Cleats,Caguas,59.38999939
PAYMENT,3,4,Western Europe,Advance shipping,0,Men's Footwear,Caguas,128.6900024
PAYMENT,5,4,Western Europe,Late delivery,1,Men's Footwear,Caguas,128.6900024
PAYMENT,5,4,Western Europe,Late delivery,1,Men's Footwear,Caguas,127.3899994
PAYMENT,5,4,Western Europe,Late delivery,1,Men's Footwear,Caguas,127.3899994
PAYMENT,3,4,Western Europe,Advance shipping,0,Cleats,Caguas,58.18999863
PAYMENT,4,4,Western Europe,Shipping on time,0,Men's Footwear,Caguas,126.0899963
PAYMENT,2,4,Western Europe,Advance shipping,0,Men's Footwear,Caguas,126.0899963
PAYMENT,6,4,Western Europe,Late delivery,1,Cleats,Caguas,287.9899902
PAYMENT,2,4,Western Europe,Advance shipping,0,Men's Footwear,Caguas,124.7900009
PAYMENT,2,4,Western Europe,Advance shipping,0,Men's Footwear,Caguas,124.7900009
PAYMENT,6,4,Western Europe,Late delivery,1,Men's Footwear,Caguas,124.7900009
PAYMENT,6,4,Western Europe,Late delivery,1,Crafts,Caguas,438.4100037
PAYMENT,2,4,Western Europe,Advance shipping,0,Men's Footwear,Caguas,123.4899979
PAYMENT,2,4,Western Europe,Advance shipping,0,Men's Footwear,Caguas,123.4899979
PAYMENT,2,4,Western Europe,Advance shipping,0,Children's Clothing,Caguas,337.4599915
PAYMENT,4,4,Western Europe,Shipping on time,0,Men's Footwear,Caguas,122.8399963
PAYMENT,2,4,Western Europe,Advance shipping,0,Men's Footwear,Caguas,120.8899994
PAYMENT,5,4,Western Europe,Late delivery,1,Men's Footwear,Caguas,118.2900009
PAYMENT,6,4,Western Europe,Late delivery,1,Men's Footwear,Caguas,116.9899979
PAYMENT,4,4,Western Europe,Shipping on time,0,Men's Footwear,Caguas,116.9899979
PAYMENT,4,4,Western Europe,Shipping on time,0,Cleats,Caguas,52.79000092
PAYMENT,2,4,Western Europe,Advance shipping,0,Men's Footwear,Caguas,114.3899994
PAYMENT,6,4,Western Europe,Late delivery,1,Men's Footwear,Caguas,114.3899994
PAYMENT,5,4,Western Europe,Late delivery,1,Crafts,Caguas,401.4899902
PAYMENT,5,4,Western Europe,Late delivery,1,Cleats,Caguas,50.99000168
PAYMENT,3,4,Western Europe,Advance shipping,0,Men's Footwear,Caguas,110.4899979
PAYMENT,5,4,Western Europe,Late delivery,1,Men's Footwear,Caguas,110.4899979
PAYMENT,5,4,Western Europe,Late delivery,1,Cleats,Caguas,50.38999939
PAYMENT,6,4,Western Europe,Late delivery,1,Men's Footwear,Caguas,109.1900024
DEBIT,4,2,Western Europe,Late delivery,1,Cleats,Caguas,49.79000092
DEBIT,2,2,Western Europe,Shipping on time,0,Cleats,Caguas,49.79000092
DEBIT,5,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,107.8899994
DEBIT,2,2,Western Europe,Shipping on time,0,Men's Footwear,Caguas,107.8899994
DEBIT,3,2,Western Europe,Late delivery,1,Children's Clothing,Caguas,292.8200073
DEBIT,4,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,106.5899963
DEBIT,6,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,106.5899963
DEBIT,2,2,Western Europe,Shipping on time,0,Men's Footwear,Caguas,106.5899963
DEBIT,6,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,106.5899963
DEBIT,4,2,Western Europe,Late delivery,1,Children's Clothing,Caguas,285.6799927
DEBIT,6,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,103.9899979
DEBIT,6,2,Western Europe,Late delivery,1,Cleats,Caguas,44.99000168
DEBIT,3,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,97.48999786
DEBIT,5,2,Western Europe,Late delivery,1,Shop By Sport,Caguas,39.59000015
DEBIT,5,2,Western Europe,Late delivery,1,Women's Apparel,Caguas,48.5
DEBIT,5,2,Western Europe,Late delivery,1,Women's Apparel,Caguas,48.0
DEBIT,4,2,Western Europe,Late delivery,1,Women's Apparel,Caguas,48.0
DEBIT,4,2,Western Europe,Late delivery,1,Women's Apparel,Caguas,48.0
DEBIT,2,2,Western Europe,Shipping on time,0,Women's Apparel,Caguas,47.5
DEBIT,4,2,Western Europe,Late delivery,1,Shop By Sport,Caguas,37.79000092
DEBIT,6,2,Western Europe,Late delivery,1,Shop By Sport,Caguas,36.38999939
DEBIT,6,2,Western Europe,Late delivery,1,Women's Apparel,Caguas,45.0
DEBIT,6,2,Western Europe,Late delivery,1,Girls' Apparel,Caguas,25.5
DEBIT,6,2,Western Europe,Late delivery,1,Shop By Sport,Caguas,33.99000168
DEBIT,4,2,Western Europe,Late delivery,1,Shop By Sport,Caguas,31.98999977
DEBIT,2,2,Western Europe,Shipping on time,0,Women's Apparel,Yauco,40.0
DEBIT,4,2,Western Europe,Late delivery,1,Accessories,Caguas,24.23999977
DEBIT,3,2,Western Europe,Late delivery,1,Golf Balls,Caguas,16.98999977
DEBIT,6,2,Western Europe,Late delivery,1,Kids' Golf Clubs,Caguas,169.1499939
DEBIT,6,2,Western Europe,Late delivery,1,Fishing,Caguas,399.980011
DEBIT,2,2,Western Europe,Shipping on time,0,Fishing,Caguas,399.980011
DEBIT,4,2,Western Europe,Late delivery,1,Camping & Hiking,Caguas,296.980011
DEBIT,6,2,Western Europe,Late delivery,1,Camping & Hiking,Caguas,290.980011
DEBIT,5,2,Western Europe,Late delivery,1,Camping & Hiking,Caguas,290.980011
DEBIT,6,2,Western Europe,Late delivery,1,Camping & Hiking,Caguas,287.980011
DEBIT,3,2,Western Europe,Late delivery,1,Camping & Hiking,Caguas,287.980011
DEBIT,6,2,Western Europe,Late delivery,1,Fishing,Caguas,383.980011
DEBIT,4,2,Western Europe,Late delivery,1,Fishing,Caguas,379.980011
DEBIT,2,2,Western Europe,Shipping on time,0,Camping & Hiking,Caguas,283.480011
DEBIT,2,2,Western Europe,Shipping on time,0,Camping & Hiking,Caguas,278.980011
DEBIT,4,2,Western Europe,Late delivery,1,Camping & Hiking,Caguas,272.980011
DEBIT,2,2,Western Europe,Shipping on time,0,Camping & Hiking,Caguas,272.980011
DEBIT,2,2,Western Europe,Shipping on time,0,Fishing,Caguas,363.980011
DEBIT,6,2,Western Europe,Late delivery,1,Fishing,Caguas,363.980011
DEBIT,4,2,Western Europe,Late delivery,1,Camping & Hiking,San Juan,269.980011
DEBIT,2,2,Western Europe,Shipping on time,0,Fishing,Caguas,359.980011
DEBIT,6,2,Western Europe,Late delivery,1,Fishing,Caguas,359.980011
DEBIT,6,2,Western Europe,Late delivery,1,Fishing,Caguas,351.980011
DEBIT,2,2,Western Europe,Shipping on time,0,Camping & Hiking,Yauco,260.980011
DEBIT,3,2,Western Europe,Late delivery,1,Fishing,Caguas,347.980011
DEBIT,5,2,Western Europe,Late delivery,1,Camping & Hiking,Caguas,254.9799957
DEBIT,3,2,Western Europe,Late delivery,1,Fishing,Caguas,335.980011
DEBIT,4,2,Western Europe,Late delivery,1,Fishing,Caguas,335.980011
DEBIT,6,2,Western Europe,Late delivery,1,Camping & Hiking,Caguas,248.9799957
DEBIT,4,2,Western Europe,Late delivery,1,Camping & Hiking,Caguas,248.9799957
DEBIT,3,2,Western Europe,Late delivery,1,Camping & Hiking,Caguas,245.9799957
DEBIT,5,2,Western Europe,Late delivery,1,Fishing,Caguas,327.980011
DEBIT,4,2,Western Europe,Late delivery,1,Fishing,Caguas,327.980011
DEBIT,2,2,Western Europe,Shipping on time,0,Fishing,Caguas,327.980011
DEBIT,2,2,Western Europe,Shipping on time,0,Fishing,Caguas,319.980011
DEBIT,2,2,Western Europe,Shipping on time,0,Fishing,Caguas,319.980011
DEBIT,6,2,Western Europe,Late delivery,1,Fishing,Caguas,299.9899902
DEBIT,4,2,Western Europe,Late delivery,1,Fishing,Caguas,299.9899902
DEBIT,3,2,Western Europe,Late delivery,1,Books ,Caguas,29.84000015
DEBIT,2,2,Western Europe,Shipping on time,0,Books ,Caguas,27.04000092
DEBIT,6,2,Western Europe,Late delivery,1,Books ,Caguas,23.30999947
DEBIT,3,2,Western Europe,Late delivery,1,DVDs,Caguas,164.3800049
DEBIT,4,2,Western Europe,Late delivery,1,DVDs,Caguas,161.0899963
DEBIT,6,2,Western Europe,Late delivery,1,DVDs,Caguas,161.0899963
DEBIT,4,2,Western Europe,Late delivery,1,DVDs,Caguas,149.5899963
DEBIT,2,2,Western Europe,Shipping on time,0,DVDs,Caguas,144.6499939
DEBIT,6,2,Western Europe,Late delivery,1,Computers,Caguas,1125.0
DEBIT,4,2,Western Europe,Late delivery,1,Cardio Equipment,Caguas,86.98999786
DEBIT,6,2,Western Europe,Late delivery,1,Cleats,Caguas,59.99000168
DEBIT,6,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,129.9900055
DEBIT,4,2,Western Europe,Late delivery,1,Cleats,Caguas,58.79000092
DEBIT,5,2,Western Europe,Late delivery,1,Cleats,Caguas,58.79000092
DEBIT,6,2,Western Europe,Late delivery,1,Crafts,Caguas,447.6400146
DEBIT,6,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,124.7900009
DEBIT,2,2,Western Europe,Shipping on time,0,Men's Footwear,Caguas,124.7900009
DEBIT,5,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,124.7900009
DEBIT,4,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,123.4899979
DEBIT,5,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,123.4899979
DEBIT,4,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,120.8899994
DEBIT,5,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,116.9899979
DEBIT,5,2,Western Europe,Late delivery,1,Children's Clothing,Caguas,310.6799927
DEBIT,2,2,Western Europe,Shipping on time,0,Men's Footwear,Caguas,110.4899979
DEBIT,3,2,Western Europe,Late delivery,1,Men's Footwear,Caguas,109.1900024
DEBIT,2,2,Western Europe,Shipping on time,0,Men's Footwear,Caguas,109.1900024
DEBIT,3,2,Western Europe,Late delivery,1,Camping & Hiking,Caguas,296.980011
DEBIT,5,2,Western Europe,Late delivery,1,Fishing,Caguas,395.980011
DEBIT,2,2,Western Europe,Shipping on time,0,Fishing,Caguas,387.980011
DEBIT,2,2,Western Europe,Shipping on time,0,Fishing,Caguas,379.980011
DEBIT,2,2,Western Europe,Shipping on time,0,Camping & Hiking,Caguas,260.980011
DEBIT,6,2,Western Europe,Late delivery,1,Camping & Hiking,Caguas,254.9799957
DEBIT,2,2,Western Europe,Shipping on time,0,Camping & Hiking,Caguas,251.9799957
DEBIT,6,2,Western Europe,Late delivery,1,Fishing,Caguas,327.980011
TRANSFER,4,4,Western Europe,Shipping on time,0,Cleats,La Mirada,191.9700012
TRANSFER,5,4,Western Europe,Late delivery,1,Women's Apparel,Carlsbad,200.0
TRANSFER,6,4,Western Europe,Late delivery,1,Women's Apparel,New York,198.0
TRANSFER,6,4,Western Europe,Late delivery,1,Women's Apparel,New York,196.0
